frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
38,914.2672,450.56787,918.43866,446.39642,910.09576,446.39642,922.6101,450.56787,905.9243,450.56787,935.1244,475.5965,897.5815,469.33936,955.98157,511.05377,870.4671,469.33936,962.2388,546.511,841.267,467.25366,933.0387,523.56805,908.0101,521.48236,930.953,571.5396,908.0101,565.2824,920.52435,623.68256,912.1815,613.25397
39,918.8078,441.6541,923.0277,437.43427,914.5879,439.5442,927.24756,441.6541,908.25806,443.7641,939.9072,466.97345,904.0382,462.7536,961.0067,500.7326,874.49896,464.86353,969.44653,536.6016,844.9598,464.86353,937.79736,519.7221,912.47797,519.7221,935.6874,568.2508,912.47797,564.0309,927.24756,620.9994,916.6979,616.7795
40,918.8054,441.7208,923.0258,437.5004,914.585,437.5004,927.2463,441.7208,908.2544,443.83102,939.90753,467.0433,904.03394,462.8229,961.0096,500.80667,874.491,464.93314,969.4505,534.57007,844.94806,464.93314,937.7973,519.7986,912.4748,519.7986,935.6871,568.3334,912.4748,564.1129,927.2463,621.0886,916.69525,616.86816
41,923.6623,436.81305,927.9997,432.47565,919.3249,432.47565,932.3371,436.81305,912.8187,438.98175,945.3494,462.83765,908.48126,456.33148,967.0367,495.3684,878.1192,458.50024,973.5428,527.8992,854.26337,460.66895,941.012,512.71814,917.1561,512.71814,941.012,564.7674,914.9874,560.42993,936.6746,618.9853,914.9874,614.6479
42,928.47394,432.4328,932.8481,428.0586,924.0997,428.0586,937.22235,432.4328,917.5383,434.61993,950.34515,456.49115,913.16406,449.92975,970.02924,487.11078,886.91864,454.30402,978.77765,522.1047,858.4861,458.67822,945.9709,511.16913,921.91254,508.982,948.158,561.47284,915.3512,559.2857,945.9709,616.1508,915.3512,613.96375
43,934.0833,429.00427,936.269,424.63293,929.712,424.63293,940.6403,429.00427,923.15497,429.00427,955.94,453.04663,916.59796,448.6753,973.4255,483.646,892.5556,453.04663,979.98236,516.4311,864.1419,457.41797,951.56866,507.68835,925.34064,505.5027,953.75433,555.77313,918.7836,555.77313,955.94,610.4149,914.4123,610.4149
44,939.8108,425.56744,942.0144,423.36383,933.19995,423.36383,946.42163,427.77106,928.7927,427.77106,959.6433,452.01074,919.9783,445.3999,977.2721,482.86127,895.73865,454.21436,983.88293,515.91534,871.499,460.8252,955.2361,502.69373,928.7927,504.89734,961.8468,553.3767,919.9783,553.3767,968.45764,608.46686,915.57117,608.46686
45,944.834,426.77304,947.05383,422.3334,940.3943,424.5532,951.4934,426.77304,933.73486,426.77304,964.8124,451.19107,924.8556,446.75143,980.3511,482.2686,902.65735,453.41092,987.0106,515.5659,878.2394,464.50998,955.9331,502.24698,931.515,504.46683,971.4718,551.0831,922.63574,553.30286,980.3511,602.13904,918.19604,606.5786
46,944.92773,426.8133,947.1472,422.37427,940.48865,424.5938,951.5863,426.8133,933.8302,426.8133,964.9033,451.2279,924.95215,446.78888,980.4398,482.3011,902.75696,453.44745,987.0984,513.3742,878.3424,464.54498,956.02527,502.27667,931.6106,504.49622,971.5619,551.1059,922.73254,553.32544,980.4398,602.15466,918.2936,606.5937
47,949.6826,429.235,951.8467,424.90686,943.1904,424.90686,956.1747,429.235,938.8623,431.39905,969.15906,453.03967,930.20605,448.71155,984.3075,485.50055,908.5654,457.3678,990.7997,513.63336,884.76074,468.1881,960.5028,504.9771,934.5342,504.9771,982.14343,550.42236,925.8779,554.7505,995.1278,598.03174,917.2217,602.35986
