frame 0
pose 0
1230.2545 261.85196 0.39035344
1253.0326 273.78336 0.1061551
1231.3391 273.78336 0.10142337
1253.3942 255.34393 0.097239584
1234.2316 273.78336 0.05498131
pose 20
1440.9923 197.53056 0.6308644
1443.8524 194.67043 0.58797956
1439.5623 194.67043 0.6210443
1448.8577 195.38545 0.5221536
1435.272 195.38545 0.5088459
1459.5831 211.83125 0.6700375
1428.1216 213.26134 0.61009556
1463.1583 235.42741 0.4923324
1422.4014 235.42741 0.4121971
1453.1478 240.43266 0.11055563
1440.2772 240.43266 0.13916449
1453.8629 249.7281 0.4642804
1432.4119 251.15819 0.41825372
1461.0132 213.97636 0.057422828
1425.9766 242.57774 0.03203866
1461.0132 240.43266 0.060146514
1418.8262 241.14769 0.028669076
pose 21
816.7527 170.39162 0.52139586
819.5317 164.83365 0.47298682
809.80524 166.22314 0.5459108
833.4266 166.22314 0.44721082
797.29974 167.61263 0.35359588
845.93207 203.73949 0.15328455
784.7943 217.63441 0.1677263
847.32153 177.3391 0.07683594
777.84686 171.78111 0.07592133
833.4266 202.34999 0.05456596
802.8577 187.06557 0.05374631
832.0371 195.40251 0.13709411
802.8577 195.40251 0.12629463
832.0371 227.36086 0.09008555
793.1313 224.58186 0.11822093
825.08966 234.30833 0.13843602
802.8577 217.63441 0.16321401
pose 22
670.28644 139.08977 0.8208841
673.4991 135.87717 0.78966814
668.1447 134.80629 0.80672044
677.78253 136.94803 0.68894106
662.79034 136.94803 0.7826662
684.20776 151.94019 0.7220383
656.3652 151.94019 0.7212518
688.4912 170.14494 0.58726144
651.0108 166.93234 0.61827195
680.9951 182.99536 0.5814189
660.6486 182.99536 0.5513763
678.8534 182.99536 0.52836347
659.57776 182.99536 0.5982028
684.20776 199.05838 0.35552812
654.22345 199.05838 0.41669908
680.9951 218.33401 0.2846682
656.3652 218.33401 0.4981198
frame 1
pose 0
798.8622 618.4875 0.3751212
793.5089 613.1342 0.55840737
809.56885 613.1342 0.4431549
790.8323 618.4875 0.93180305
814.9221 615.81085 0.9530695
780.1256 647.93066 0.9027645
822.952 645.254 0.8960056
780.1256 680.0505 0.8967457
852.39526 672.0205 0.8824356
806.8922 680.0505 0.44453657
855.0719 661.3139 0.91588104
788.15564 722.8769 0.7757535
814.9221 722.8769 0.773505
798.8622 784.4398 0.92502683
820.2754 784.4398 0.92290723
798.8622 832.6195 0.86812574
812.2455 832.6195 0.8791916
pose 1
945.6029 433.62927 0.9710453
949.688 429.5442 0.9780342
943.5603 429.5442 0.96442026
959.9009 425.45905 0.94370383
941.5177 429.5442 0.83970493
974.1987 439.75702 0.8795719
941.5177 452.0124 0.89425504
994.6245 447.92725 0.9333363
931.30493 472.43805 0.9092842
970.11365 466.31036 0.9099079
919.04956 490.82117 0.8837862
992.5819 494.9063 0.8007138
968.07104 501.034 0.8272778
978.28394 541.8853 0.9315974
961.94336 545.97046 0.9357491
974.1987 599.07715 0.91892856
986.4542 576.60895 0.9096917
pose 2
270.79745 551.32355 0.83758885
270.79745 548.52496 0.75673956
267.99884 548.52496 0.86026645
260.53583 552.2564 0.40217867
260.53583 552.2564 0.8583078
253.07285 576.51117 0.48287442
243.74408 579.3098 0.59996766
264.26733 611.0275 0.4197315
249.34134 621.2892 0.5641872
283.8577 620.3563 0.52812344
281.99194 623.1549 0.3571254
269.8646 628.7522 0.20813927
259.1365 633.883 0.14461276
289.45496 625.95355 0.07424573
289.45496 628.7522 0.052942343
278.26047 628.7522 0.03035852
250.2742 625.95355 0.033153515
pose 3
1259.0502 297.26932 0.8743455
1262.6816 293.6379 0.87868553
1257.2345 293.6379 0.90976566
1267.2208 295.4536 0.7641559
1249.9717 294.54575 0.8747817
1272.668 313.61066 0.6231244
1241.801 313.61066 0.6397148
