frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
32,811.6511,621.99304,806.3701,616.712,814.29175,616.712,801.0891,621.99304,824.85376,621.99304,790.527,651.0388,832.7754,648.39825,793.1675,685.36566,864.4617,674.8035,814.29175,685.36566,861.82117,661.6009,801.0891,730.2546,827.49426,730.2546,809.0106,785.70557,832.7754,788.3461,809.0106,833.23505,824.85376,838.51605
33,811.6298,621.9335,806.3455,616.6492,814.272,616.6492,801.0612,621.9335,824.84064,621.9335,790.49255,650.99725,832.7671,648.3551,793.1347,685.34534,864.473,677.4188,814.272,685.34534,861.8309,664.208,801.0612,730.2621,830.125,730.2621,808.9877,785.74744,832.7671,788.3896,808.9877,833.30634,824.84064,838.59064
34,811.5751,622.1078,806.29614,616.8289,816.854,616.8289,801.01733,622.1078,824.7722,622.1078,790.4596,651.1416,835.32996,648.5022,793.099,685.4543,864.3638,674.89655,816.854,685.4543,861.72437,661.69934,801.01733,727.6853,827.41174,730.3247,808.93567,783.11346,832.69055,788.39233,808.93567,833.26276,824.7722,838.5416
35,811.6008,622.0563,806.3359,616.7914,814.2333,614.15894,801.071,622.0563,824.7632,622.0563,790.54114,651.0134,835.293,648.381,793.1736,685.2355,864.2501,677.338,814.2333,685.2355,861.6177,664.17566,801.071,727.35486,827.3956,729.9873,808.9684,782.6366,832.6606,787.9016,808.9684,832.65344,824.7632,840.5509
36,811.63684,622.1,806.37933,616.84247,814.2656,614.2137,801.12177,622.1,824.78076,622.1,790.6067,651.01654,835.29584,648.38776,793.2354,685.1906,864.2124,677.3043,816.8944,685.1906,864.2124,664.1604,801.12177,727.25104,827.40955,729.8798,809.0081,782.4554,832.6671,787.7129,809.0081,832.4021,824.78076,840.28845
37,811.6793,622.04834,806.42065,616.7896,814.30865,614.1603,801.1619,622.04834,824.82605,622.04834,790.64453,650.9712,835.34344,648.3418,793.27386,685.1527,864.2663,677.26465,816.938,685.1527,864.2663,664.1179,801.1619,727.2223,827.4554,729.8516,809.05,782.4386,832.7141,787.69727,809.05,832.39624,824.82605,840.2843
38,811.6836,621.8331,806.4325,616.58203,814.30914,613.9565,801.1814,621.8331,824.8114,621.8331,790.67914,650.71423,832.68805,648.0887,793.3047,684.8465,864.1947,676.9698,814.30914,684.8465,864.1947,663.84204,798.55585,729.4809,827.43695,729.4809,809.05804,784.6176,832.68805,787.24316,809.05804,834.5031,824.8114,839.7543
39,814.3024,621.6152,806.4132,616.3557,814.3024,613.72595,801.15375,621.6152,824.8214,621.6152,790.63477,650.54236,832.71063,647.9126,793.26447,684.729,864.2676,676.8398,814.3024,684.729,864.2676,663.6911,798.524,729.4347,827.4512,729.4347,809.04297,784.6593,832.71063,787.28906,809.04297,834.6244,824.8214,839.8839
40,811.4061,618.8428,806.1434,616.21136,814.03754,613.57996,800.8806,621.4741,824.5631,621.4741,790.35504,650.41943,835.0887,650.41943,792.9864,684.62756,864.034,676.73334,814.03754,684.62756,864.034,663.5764,800.8806,729.3612,827.1945,729.3612,808.7748,784.6204,832.4573,787.25183,808.7748,834.6168,824.5631,839.87964
41,811.2296,621.11975,805.95776,615.848,813.8655,613.2121,800.68604,621.11975,824.40894,621.11975,790.14246,650.1145,834.9525,650.1145,792.7783,684.38104,863.94727,676.4734,840.22437,660.6581,863.94727,663.29395,800.68604,729.1911,827.0449,729.1911,808.5936,784.5447,832.31665,787.18054,808.5936,834.62646,824.40894,837.2624
